level,group,feature,importance
era,Analog (1960-89),danceability,0.08857686704946117
era,Analog (1960-89),energy,0.07820709094966663
era,Analog (1960-89),key,0.01468287833270026
era,Analog (1960-89),loudness,0.08329728637238393
era,Analog (1960-89),mode,0.015993200464343948
era,Analog (1960-89),speechiness,0.10578032935744622
era,Analog (1960-89),acousticness,0.1349862052758952
era,Analog (1960-89),instrumentalness,0.19102498228988776
era,Analog (1960-89),liveness,0.03172408611513946
era,Analog (1960-89),valence,0.06869292669547516
era,Analog (1960-89),tempo,0.03575862327069549
era,Analog (1960-89),duration_ms,0.0769937960755435
era,Analog (1960-89),time_signature,0.008147796103830552
era,Analog (1960-89),chorus_hit,0.027922254130094967
era,Analog (1960-89),sections,0.038211677517435885
era,CD/Digital (1990-2009),danceability,0.16148620107145115
era,CD/Digital (1990-2009),energy,0.06660853903448197
era,CD/Digital (1990-2009),key,0.01241953150248106
era,CD/Digital (1990-2009),loudness,0.07762033228229191
era,CD/Digital (1990-2009),mode,0.004932819322584145
era,CD/Digital (1990-2009),speechiness,0.0492907981247027
era,CD/Digital (1990-2009),acousticness,0.1254437146112422
era,CD/Digital (1990-2009),instrumentalness,0.23038261752334718
era,CD/Digital (1990-2009),liveness,0.025460042003993287
era,CD/Digital (1990-2009),valence,0.05097515652568044
era,CD/Digital (1990-2009),tempo,0.027477154459309046
era,CD/Digital (1990-2009),duration_ms,0.11369424742751336
era,CD/Digital (1990-2009),time_signature,0.004096353497899534
era,CD/Digital (1990-2009),chorus_hit,0.02131660233247496
era,CD/Digital (1990-2009),sections,0.028795890280547114
era,Streaming (2010s),danceability,0.10730634053382379
era,Streaming (2010s),energy,0.09823921055998057
era,Streaming (2010s),key,0.014015114337576856
era,Streaming (2010s),loudness,0.11022232432100303
era,Streaming (2010s),mode,0.003287076847312764
era,Streaming (2010s),speechiness,0.03585197836857177
era,Streaming (2010s),acousticness,0.10567458941628063
era,Streaming (2010s),instrumentalness,0.29612112717216316
era,Streaming (2010s),liveness,0.026035964979040357
era,Streaming (2010s),valence,0.05691059302976682
era,Streaming (2010s),tempo,0.027665377701614823
era,Streaming (2010s),duration_ms,0.06475385427597603
era,Streaming (2010s),time_signature,0.007701861883336734
era,Streaming (2010s),chorus_hit,0.02506588897567502
era,Streaming (2010s),sections,0.0211486975978778
decade,60s,danceability,0.05526410239591719
decade,60s,energy,0.07854473752255127
decade,60s,key,0.02006459851272373
decade,60s,loudness,0.08671210992605578
decade,60s,mode,0.027827508747820133
decade,60s,speechiness,0.08179707142186488
decade,60s,acousticness,0.1273281500970669
decade,60s,instrumentalness,0.14089099826447002
decade,60s,liveness,0.03561412126322284
decade,60s,valence,0.078590117698055
decade,60s,tempo,0.044317553023253096
decade,60s,duration_ms,0.12694532257797628
decade,60s,time_signature,0.008382693643731226
decade,60s,chorus_hit,0.037900359926187906
decade,60s,sections,0.04982055497910379
decade,70s,danceability,0.08465023433400849
decade,70s,energy,0.08023305920613549
decade,70s,key,0.01942683124265055
decade,70s,loudness,0.0766893688659188
decade,70s,mode,0.008407402055783901
decade,70s,speechiness,0.09764635441699603
decade,70s,acousticness,0.13046809111456834
decade,70s,instrumentalness,0.16701680112704645
decade,70s,liveness,0.03806816369812844
decade,70s,valence,0.05810910534603182
decade,70s,tempo,0.042203132457677525
decade,70s,duration_ms,0.10468625969302964
decade,70s,time_signature,0.012634024048111026
decade,70s,chorus_hit,0.03681396087899191
decade,70s,sections,0.04294721151492157
decade,80s,danceability,0.11683410953724674
decade,80s,energy,0.061327189686569986
decade,80s,key,0.017569484271807594
decade,80s,loudness,0.06440516122634989
decade,80s,mode,0.0060825113074610675
decade,80s,speechiness,0.09890146807739783
decade,80s,acousticness,0.12866175414769895
decade,80s,instrumentalness,0.162433320808063
decade,80s,liveness,0.04343934610889242
decade,80s,valence,0.06266001871229254
decade,80s,tempo,0.042561396248336276
decade,80s,duration_ms,0.11515974551195701
decade,80s,time_signature,0.006017336494726386
decade,80s,chorus_hit,0.03358687029199135
decade,80s,sections,0.040360287569209084
decade,90s,danceability,0.15272648407874226
decade,90s,energy,0.06545963687025354
decade,90s,key,0.016652542039103522
decade,90s,loudness,0.06976833204105573
decade,90s,mode,0.004146063515165915
decade,90s,speechiness,0.056220220965251824
decade,90s,acousticness,0.13596967046013467
decade,90s,instrumentalness,0.16275774415192149
decade,90s,liveness,0.03383550602642291
decade,90s,valence,0.04640329929220371
decade,90s,tempo,0.030858624062215113
decade,90s,duration_ms,0.15379350784380816
decade,90s,time_signature,0.003888311887654212
decade,90s,chorus_hit,0.026141325472806988
decade,90s,sections,0.04137873129326009
decade,00s,danceability,0.14091236745735045
decade,00s,energy,0.07638287333393538
decade,00s,key,0.013689455462064282
decade,00s,loudness,0.1020586092043447
decade,00s,mode,0.006568859553627191
decade,00s,speechiness,0.04314086940187088
decade,00s,acousticness,0.08909100276017494
decade,00s,instrumentalness,0.2560642703172114
decade,00s,liveness,0.025546660502511972
decade,00s,valence,0.0546266082347575
decade,00s,tempo,0.027620030553270104
decade,00s,duration_ms,0.10551003775764002
decade,00s,time_signature,0.0047367568816180225
decade,00s,chorus_hit,0.023515216880436434
decade,00s,sections,0.03053638169918672
decade,10s,danceability,0.10730634053382379
decade,10s,energy,0.09823921055998057
decade,10s,key,0.014015114337576856
decade,10s,loudness,0.11022232432100303
decade,10s,mode,0.003287076847312764
decade,10s,speechiness,0.03585197836857177
decade,10s,acousticness,0.10567458941628063
decade,10s,instrumentalness,0.29612112717216316
decade,10s,liveness,0.026035964979040357
decade,10s,valence,0.05691059302976682
decade,10s,tempo,0.027665377701614823
decade,10s,duration_ms,0.06475385427597603
decade,10s,time_signature,0.007701861883336734
decade,10s,chorus_hit,0.02506588897567502
decade,10s,sections,0.0211486975978778
