era,seed,feature,mean_abs_shap
Analog (1960-89),0,danceability,0.04236183369502569
Analog (1960-89),0,energy,0.030166311886197353
Analog (1960-89),0,key,0.0022920614099221034
Analog (1960-89),0,loudness,0.025736569147905758
Analog (1960-89),0,mode,0.016890927113963998
Analog (1960-89),0,speechiness,0.054767536665587355
Analog (1960-89),0,acousticness,0.056728177382224486
Analog (1960-89),0,instrumentalness,0.10230487511704711
Analog (1960-89),0,liveness,0.009591607292676529
Analog (1960-89),0,valence,0.022771833372787955
Analog (1960-89),0,tempo,0.011343729880314393
Analog (1960-89),0,duration_ms,0.021058031876645816
Analog (1960-89),0,time_signature,0.004998766969989102
Analog (1960-89),0,chorus_hit,0.004049161851498738
Analog (1960-89),0,sections,0.01237771345016955
Analog (1960-89),1,danceability,0.05070287476619544
Analog (1960-89),1,energy,0.025909374098743245
Analog (1960-89),1,key,0.0025098651526227244
Analog (1960-89),1,loudness,0.03002992075692617
Analog (1960-89),1,mode,0.016811413243679664
Analog (1960-89),1,speechiness,0.055657988937513656
Analog (1960-89),1,acousticness,0.05272775667890994
Analog (1960-89),1,instrumentalness,0.09821994320704634
Analog (1960-89),1,liveness,0.008883638114079245
Analog (1960-89),1,valence,0.02407507826624898
Analog (1960-89),1,tempo,0.011819307636007052
Analog (1960-89),1,duration_ms,0.019529564677613076
Analog (1960-89),1,time_signature,0.003972160970072185
Analog (1960-89),1,chorus_hit,0.0036898776630195597
Analog (1960-89),1,sections,0.013942479327618858
Analog (1960-89),2,danceability,0.049907550095045654
Analog (1960-89),2,energy,0.03075351589515202
Analog (1960-89),2,key,0.003386201434224716
Analog (1960-89),2,loudness,0.027650739088903697
Analog (1960-89),2,mode,0.01621281011614853
Analog (1960-89),2,speechiness,0.0548421439996725
Analog (1960-89),2,acousticness,0.05788340949700637
Analog (1960-89),2,instrumentalness,0.08447932696300615
Analog (1960-89),2,liveness,0.008061792266166285
Analog (1960-89),2,valence,0.022875361194335146
Analog (1960-89),2,tempo,0.012129437041735079
Analog (1960-89),2,duration_ms,0.023990029193286508
Analog (1960-89),2,time_signature,0.004427617533718826
Analog (1960-89),2,chorus_hit,0.004052007480801336
Analog (1960-89),2,sections,0.012436992021016342
Analog (1960-89),3,danceability,0.043296419598048905
Analog (1960-89),3,energy,0.03116712231920203
Analog (1960-89),3,key,0.0027119865028866126
Analog (1960-89),3,loudness,0.026923987537400773
Analog (1960-89),3,mode,0.0163086693135334
Analog (1960-89),3,speechiness,0.05023090087936814
Analog (1960-89),3,acousticness,0.058183860366487775
Analog (1960-89),3,instrumentalness,0.08999051579552977
Analog (1960-89),3,liveness,0.007744300905502834
Analog (1960-89),3,valence,0.024267553703184577
Analog (1960-89),3,tempo,0.010914623962373955
Analog (1960-89),3,duration_ms,0.02275801905549109
Analog (1960-89),3,time_signature,0.002993093307665278
Analog (1960-89),3,chorus_hit,0.0035217660535595994
Analog (1960-89),3,sections,0.013641120478941782
Analog (1960-89),4,danceability,0.04821627335421291
Analog (1960-89),4,energy,0.03120716523245307
Analog (1960-89),4,key,0.002481729174572894
Analog (1960-89),4,loudness,0.023744479684431205
Analog (1960-89),4,mode,0.014754634043185342
Analog (1960-89),4,speechiness,0.049943448870520005
Analog (1960-89),4,acousticness,0.05474265760221059
Analog (1960-89),4,instrumentalness,0.10200641249940466
Analog (1960-89),4,liveness,0.008845985708090184
Analog (1960-89),4,valence,0.025464823391684942
Analog (1960-89),4,tempo,0.010705320849630627
Analog (1960-89),4,duration_ms,0.022887158357664514
Analog (1960-89),4,time_signature,0.003729627871545357
Analog (1960-89),4,chorus_hit,0.0037090336621376863
Analog (1960-89),4,sections,0.016250033926681486
CD/Digital (1990-2009),0,danceability,0.08288480877691967
CD/Digital (1990-2009),0,energy,0.03385885059743671
CD/Digital (1990-2009),0,key,0.0024498755988394865
CD/Digital (1990-2009),0,loudness,0.039733168276306643
CD/Digital (1990-2009),0,mode,0.0039538947858919924
CD/Digital (1990-2009),0,speechiness,0.024089264915356737
CD/Digital (1990-2009),0,acousticness,0.05685978817006319
CD/Digital (1990-2009),0,instrumentalness,0.14045453818449066
CD/Digital (1990-2009),0,liveness,0.007192270935595963
CD/Digital (1990-2009),0,valence,0.014033798527550339
CD/Digital (1990-2009),0,tempo,0.00819575878763158
CD/Digital (1990-2009),0,duration_ms,0.0554285029633588
CD/Digital (1990-2009),0,time_signature,0.0012240868418323773
CD/Digital (1990-2009),0,chorus_hit,0.003921033588538473
CD/Digital (1990-2009),0,sections,0.012388789789919164
CD/Digital (1990-2009),1,danceability,0.10127359341998643
CD/Digital (1990-2009),1,energy,0.028368140288156
CD/Digital (1990-2009),1,key,0.0027654273863451993
CD/Digital (1990-2009),1,loudness,0.03775731535119502
CD/Digital (1990-2009),1,mode,0.0037331922088976103
CD/Digital (1990-2009),1,speechiness,0.025120161873285366
CD/Digital (1990-2009),1,acousticness,0.0636398288098062
CD/Digital (1990-2009),1,instrumentalness,0.12517320064391244
CD/Digital (1990-2009),1,liveness,0.007283535953979209
CD/Digital (1990-2009),1,valence,0.014167503382827906
CD/Digital (1990-2009),1,tempo,0.007391085530094604
CD/Digital (1990-2009),1,duration_ms,0.05489792362660542
CD/Digital (1990-2009),1,time_signature,0.0019348653553224074
CD/Digital (1990-2009),1,chorus_hit,0.003948333349173047
CD/Digital (1990-2009),1,sections,0.013103839162861093
CD/Digital (1990-2009),2,danceability,0.08676948626900739
CD/Digital (1990-2009),2,energy,0.0327538064710257
CD/Digital (1990-2009),2,key,0.002428863815031095
CD/Digital (1990-2009),2,loudness,0.03685809541052668
CD/Digital (1990-2009),2,mode,0.004090896393474516
CD/Digital (1990-2009),2,speechiness,0.026624329020065573
CD/Digital (1990-2009),2,acousticness,0.06279418069843991
CD/Digital (1990-2009),2,instrumentalness,0.13250610430527723
CD/Digital (1990-2009),2,liveness,0.008261690897053527
CD/Digital (1990-2009),2,valence,0.0145028286712777
CD/Digital (1990-2009),2,tempo,0.007389680635441515
CD/Digital (1990-2009),2,duration_ms,0.06265349926552613
CD/Digital (1990-2009),2,time_signature,0.0025515716745725626
CD/Digital (1990-2009),2,chorus_hit,0.003589378304036101
CD/Digital (1990-2009),2,sections,0.010708800456772251
CD/Digital (1990-2009),3,danceability,0.08820481644618992
CD/Digital (1990-2009),3,energy,0.0262300395640463
CD/Digital (1990-2009),3,key,0.002617211268480438
CD/Digital (1990-2009),3,loudness,0.03895080137796334
CD/Digital (1990-2009),3,mode,0.003813695068268982
CD/Digital (1990-2009),3,speechiness,0.024370578283132827
CD/Digital (1990-2009),3,acousticness,0.060968520671896884
CD/Digital (1990-2009),3,instrumentalness,0.13768974834061176
CD/Digital (1990-2009),3,liveness,0.007707005911466689
CD/Digital (1990-2009),3,valence,0.015587873952154241
CD/Digital (1990-2009),3,tempo,0.008430448513602433
CD/Digital (1990-2009),3,duration_ms,0.06250560940515136
CD/Digital (1990-2009),3,time_signature,0.0018306530858569002
CD/Digital (1990-2009),3,chorus_hit,0.0039442592183054626
CD/Digital (1990-2009),3,sections,0.011787050606803911
CD/Digital (1990-2009),4,danceability,0.09027352209934147
CD/Digital (1990-2009),4,energy,0.03217495142164537
CD/Digital (1990-2009),4,key,0.002402684798092525
CD/Digital (1990-2009),4,loudness,0.03659376650891936
CD/Digital (1990-2009),4,mode,0.0038250899681513285
CD/Digital (1990-2009),4,speechiness,0.023438454637900813
CD/Digital (1990-2009),4,acousticness,0.06601215527118792
CD/Digital (1990-2009),4,instrumentalness,0.12895236539756824
CD/Digital (1990-2009),4,liveness,0.007987354656450823
CD/Digital (1990-2009),4,valence,0.013921534321945954
CD/Digital (1990-2009),4,tempo,0.00885371840054678
CD/Digital (1990-2009),4,duration_ms,0.06255929711048971
CD/Digital (1990-2009),4,time_signature,0.0015273266721657164
CD/Digital (1990-2009),4,chorus_hit,0.003833801624801006
CD/Digital (1990-2009),4,sections,0.010880784434052836
Streaming (2010s),0,danceability,0.0499357600170601
Streaming (2010s),0,energy,0.04504472078993215
Streaming (2010s),0,key,0.003005124017924216
Streaming (2010s),0,loudness,0.06477247646760477
Streaming (2010s),0,mode,0.0013346078724794544
Streaming (2010s),0,speechiness,0.010921183115987292
Streaming (2010s),0,acousticness,0.04818862991498842
Streaming (2010s),0,instrumentalness,0.17086304748414638
Streaming (2010s),0,liveness,0.007468952186012423
Streaming (2010s),0,valence,0.020411108531647203
Streaming (2010s),0,tempo,0.007065287908548642
Streaming (2010s),0,duration_ms,0.027678761299269494
Streaming (2010s),0,time_signature,0.004091995961346261
Streaming (2010s),0,chorus_hit,0.00441762050227287
Streaming (2010s),0,sections,0.005852257268109102
Streaming (2010s),1,danceability,0.05939407135222496
Streaming (2010s),1,energy,0.04409014987341377
Streaming (2010s),1,key,0.003205334262329502
Streaming (2010s),1,loudness,0.06895026404723113
Streaming (2010s),1,mode,0.0010594006478744406
Streaming (2010s),1,speechiness,0.009928709734627094
Streaming (2010s),1,acousticness,0.0430887402818973
Streaming (2010s),1,instrumentalness,0.16341378852160088
Streaming (2010s),1,liveness,0.006069899022904644
Streaming (2010s),1,valence,0.020196562403535286
Streaming (2010s),1,tempo,0.006740604472235283
Streaming (2010s),1,duration_ms,0.032826654744633796
Streaming (2010s),1,time_signature,0.005297242321934272
Streaming (2010s),1,chorus_hit,0.004876696737483424
Streaming (2010s),1,sections,0.006649310526371529
Streaming (2010s),2,danceability,0.05557659124704748
Streaming (2010s),2,energy,0.05016503977420274
Streaming (2010s),2,key,0.0030606613589061337
Streaming (2010s),2,loudness,0.057916190130224574
Streaming (2010s),2,mode,0.0010236046214723844
Streaming (2010s),2,speechiness,0.00890625995562735
Streaming (2010s),2,acousticness,0.043583755431402915
Streaming (2010s),2,instrumentalness,0.18896386177389718
Streaming (2010s),2,liveness,0.008070978905853532
Streaming (2010s),2,valence,0.018615241275482003
Streaming (2010s),2,tempo,0.00687727310501688
Streaming (2010s),2,duration_ms,0.02990723788950427
Streaming (2010s),2,time_signature,0.0036709499053914287
Streaming (2010s),2,chorus_hit,0.004071126009444661
Streaming (2010s),2,sections,0.005277729893567418
Streaming (2010s),3,danceability,0.05409834362566898
Streaming (2010s),3,energy,0.04968739628394045
Streaming (2010s),3,key,0.0032295269687963
Streaming (2010s),3,loudness,0.05964760928255531
Streaming (2010s),3,mode,0.0012271114348493737
Streaming (2010s),3,speechiness,0.009907526426240213
Streaming (2010s),3,acousticness,0.04172372697147592
Streaming (2010s),3,instrumentalness,0.17480894959315066
Streaming (2010s),3,liveness,0.0061964715626242235
Streaming (2010s),3,valence,0.017247028625241117
Streaming (2010s),3,tempo,0.006863538608795564
Streaming (2010s),3,duration_ms,0.03114706918536224
Streaming (2010s),3,time_signature,0.00447972087289114
Streaming (2010s),3,chorus_hit,0.0055370517900572395
Streaming (2010s),3,sections,0.006537727805195024
Streaming (2010s),4,danceability,0.05936177683821958
Streaming (2010s),4,energy,0.0449166476431378
Streaming (2010s),4,key,0.002767042399765066
Streaming (2010s),4,loudness,0.06119103805331928
Streaming (2010s),4,mode,0.0009718993156968953
Streaming (2010s),4,speechiness,0.009317140104654741
Streaming (2010s),4,acousticness,0.04008643543298802
Streaming (2010s),4,instrumentalness,0.17228356160993968
Streaming (2010s),4,liveness,0.005397266588508198
Streaming (2010s),4,valence,0.021081103055605913
Streaming (2010s),4,tempo,0.007423101594581158
Streaming (2010s),4,duration_ms,0.031158619640930158
Streaming (2010s),4,time_signature,0.0031648085882563987
Streaming (2010s),4,chorus_hit,0.004467080043247178
Streaming (2010s),4,sections,0.007871785160702104
